Dataset,Model,Predict Function of Model,Metric Function,Mean,Std,N
yeast,PCC_AdaBoostClassifier,Marginal Scores,Coverage Score,0.3110784,0.009692807090827718,5
yeast,PCC_AdaBoostClassifier,Marginal Scores,One-Error Score,0.707238,0.007422899972382824,5
yeast,PCC_AdaBoostClassifier,Marginal Scores,Ranking Loss Score,0.7314194,0.0046386658965699,5
yeast,PCC_AdaBoostClassifier,Predict Fmeasure,Fmeasure Score,0.47495180000000004,0.00027563871281080445,5
yeast,PCC_AdaBoostClassifier,Predict Fmeasure,Hamming Accuracy,0.3641602,0.0007081473716678135,5
yeast,PCC_AdaBoostClassifier,Predict Fmeasure,Informedness,0.5037994,0.0035907566472820522,5
yeast,PCC_AdaBoostClassifier,Predict Fmeasure,Macro F1,0.4272076,0.003593215871611395,5
yeast,PCC_AdaBoostClassifier,Predict Fmeasure,Markedness,0.5929354,0.0037611711341017195,5
yeast,PCC_AdaBoostClassifier,Predict Fmeasure,Micro F1,0.48693580000000003,0.00030875346151906807,5
yeast,PCC_AdaBoostClassifier,Predict Fmeasure,Negative Predictive Value,0.8635078,0.007283054935945497,5
yeast,PCC_AdaBoostClassifier,Predict Fmeasure,Precision Score,0.3223648,0.00025790443966709824,5
yeast,PCC_AdaBoostClassifier,Predict Fmeasure,Recall Score,0.997429,0.00018907538179255458,5
yeast,PCC_AdaBoostClassifier,Predict Fmeasure,Subset Accuracy,0.0,0.0,5
yeast,PCC_AdaBoostClassifier,Predict Hamming,Fmeasure Score,0.5054114000000001,0.005038380424303015,5
yeast,PCC_AdaBoostClassifier,Predict Hamming,Hamming Accuracy,0.7494318,0.001454467153290159,5
yeast,PCC_AdaBoostClassifier,Predict Hamming,Informedness,0.5629874,0.001965932933749268,5
yeast,PCC_AdaBoostClassifier,Predict Hamming,Macro F1,0.33623919999999996,0.005472122595483404,5
yeast,PCC_AdaBoostClassifier,Predict Hamming,Markedness,0.7084614,0.0013603934357383043,5
yeast,PCC_AdaBoostClassifier,Predict Hamming,Micro F1,0.5247516,0.005347339272946835,5
yeast,PCC_AdaBoostClassifier,Predict Hamming,Negative Predictive Value,0.7906014000000001,0.0021273211558201313,5
yeast,PCC_AdaBoostClassifier,Predict Hamming,Precision Score,0.6263221999999999,0.0011779850168826271,5
yeast,PCC_AdaBoostClassifier,Predict Hamming,Recall Score,0.4701624,0.0068759507197187035,5
yeast,PCC_AdaBoostClassifier,Predict Hamming,Subset Accuracy,0.0257392,0.0033008069770890875,5
yeast,PCC_AdaBoostClassifier,Predict Informedness,Fmeasure Score,0.4750344,0.003053265596046309,5
