Dataset,Model,Predict Function of Model,Metric Function,Score,Seed,Estimator Tag
CHD_49,BR_AdaBoostClassifier,Predict Markedness,Subset Accuracy,0.02883,1,adaboost
CHD_49,BR_AdaBoostClassifier,Predict Markedness,Precision Score,0.530734,1,adaboost
CHD_49,BR_AdaBoostClassifier,Predict Markedness,Negative Predictive Value,0.949702,1,adaboost
CHD_49,BR_AdaBoostClassifier,Predict Markedness,Recall Score,0.952528,1,adaboost
CHD_49,BR_AdaBoostClassifier,Predict Markedness,Markedness,0.740219,1,adaboost
CHD_49,BR_AdaBoostClassifier,Predict Markedness,Fmeasure Score,0.654242,1,adaboost
CHD_49,BR_AdaBoostClassifier,Predict Markedness,Informedness,0.546504,1,adaboost
CHD_49,BR_AdaBoostClassifier,Predict Markedness,Macro F1,0.586404,1,adaboost
CHD_49,BR_AdaBoostClassifier,Predict Markedness,Micro F1,0.677181,1,adaboost
CHD_49,BR_AdaBoostClassifier,Predict Fmeasure,Hamming Accuracy,0.439686,1,adaboost
CHD_49,BR_AdaBoostClassifier,Predict Fmeasure,Subset Accuracy,0.0,1,adaboost
CHD_49,BR_AdaBoostClassifier,Predict Fmeasure,Precision Score,0.4349,1,adaboost
CHD_49,BR_AdaBoostClassifier,Predict Fmeasure,Negative Predictive Value,0.057403,1,adaboost
CHD_49,BR_AdaBoostClassifier,Predict Fmeasure,Recall Score,0.99461,1,adaboost
CHD_49,BR_AdaBoostClassifier,Predict Fmeasure,Markedness,0.246151,1,adaboost
CHD_49,BR_AdaBoostClassifier,Predict Fmeasure,Fmeasure Score,0.587849,1,adaboost
CHD_49,BR_AdaBoostClassifier,Predict Fmeasure,Informedness,0.505041,1,adaboost
CHD_49,BR_AdaBoostClassifier,Predict Fmeasure,Macro F1,0.559684,1,adaboost
CHD_49,BR_AdaBoostClassifier,Predict Fmeasure,Micro F1,0.605369,1,adaboost
CHD_49,BR_AdaBoostClassifier,Predict Informedness,Hamming Accuracy,0.656328,1,adaboost
